timestamp,open,high,low,close,volume
2025-01-01 00:00:00,189.31,190.13,189.08,190.07,13730.531
2025-01-01 00:03:00,190.07,190.17,189.84,190.14,3587.108
2025-01-01 00:06:00,190.15,190.15,189.8,190.08,3747.583
2025-01-01 00:09:00,190.08,190.22,189.86,190.0,7582.341
2025-01-01 00:12:00,190.01,190.52,189.94,190.51,6404.854
2025-01-01 00:15:00,190.5,190.99,190.36,190.88,8026.555
2025-01-01 00:18:00,190.88,191.21,190.82,191.2,4716.198
2025-01-01 00:21:00,191.2,191.3,190.65,190.85,6049.001
2025-01-01 00:24:00,190.85,190.94,190.47,190.51,2539.37
2025-01-01 00:27:00,190.5,190.78,190.39,190.72,2246.335
2025-01-01 00:30:00,190.71,191.36,190.66,191.3,5608.128
2025-01-01 00:33:00,191.31,191.5,191.17,191.43,3123.122
2025-01-01 00:36:00,191.42,191.53,191.25,191.53,4031.162
2025-01-01 00:39:00,191.54,191.58,191.3,191.31,4318.03
2025-01-01 00:42:00,191.3,191.37,191.11,191.28,3033.29
2025-01-01 00:45:00,191.28,191.73,191.17,191.57,3529.516
2025-01-01 00:48:00,191.57,192.03,191.57,191.94,10533.251
2025-01-01 00:51:00,191.93,192.06,191.81,191.98,3763.023
2025-01-01 00:54:00,191.98,192.24,191.98,192.12,3671.957
2025-01-01 00:57:00,192.12,192.66,192.11,192.54,9271.009
2025-01-01 01:00:00,192.54,192.64,192.19,192.22,7208.153
2025-01-01 01:03:00,192.22,192.26,191.51,191.59,6669.155
2025-01-01 01:06:00,191.6,191.66,191.46,191.61,3023.798
2025-01-01 01:09:00,191.61,191.98,191.49,191.83,1873.123
2025-01-01 01:12:00,191.83,191.89,191.59,191.66,11710.354
2025-01-01 01:15:00,191.65,191.65,191.0,191.04,5491.395
2025-01-01 01:18:00,191.05,191.15,190.97,191.07,2902.45
2025-01-01 01:21:00,191.08,191.23,190.75,190.78,1965.199
2025-01-01 01:24:00,190.77,191.21,190.69,191.12,2421.284
2025-01-01 01:27:00,191.12,191.25,191.06,191.17,1136.694
2025-01-01 01:30:00,191.16,191.53,190.97,191.24,2992.208
2025-01-01 01:33:00,191.25,191.56,191.13,191.42,1263.864
2025-01-01 01:36:00,191.41,191.57,191.3,191.55,1107.527
2025-01-01 01:39:00,191.56,191.63,191.34,191.48,3115.276
2025-01-01 01:42:00,191.48,191.48,191.18,191.21,1447.827
2025-01-01 01:45:00,191.21,191.23,191.0,191.03,3941.698
2025-01-01 01:48:00,191.03,191.21,190.78,190.8,2126.96
2025-01-01 01:51:00,190.8,190.95,190.44,190.73,2110.502
2025-01-01 01:54:00,190.72,190.72,190.39,190.46,1906.824
2025-01-01 01:57:00,190.46,190.96,190.45,190.7,2114.835
2025-01-01 02:00:00,190.7,191.08,190.62,190.92,3355.757
2025-01-01 02:03:00,190.93,191.13,190.86,190.98,1710.849
2025-01-01 02:06:00,190.98,191.1,190.74,190.79,2135.354
2025-01-01 02:09:00,190.79,191.04,190.64,190.88,2870.714
